CUSTID;NAME;DOB;GENDER;REGION;PASTHOL;HOLCOST;NIGHTS;TRAVDATE;HOLCODE
GS101129;Blodwin Sheepdip;21/02/1933;1;Midlands;4;2470.0;21;10/08/1998;CAF3114
GS101130;Mr Ivan Axtagrinde;22/05/1977;0;Midlands;1;1140.0;7;26/08/1998;CAF3116
GS101131;Mr Content;14/05/1964;0;Midlands;1;1760.0;21;20/09/1998;CAF3119
GS101132;Sam Fletcher;24/03/1967;1;Northern Ireland;2;1250.0;14;03/08/1998;CAF3104
GS101133;Sarim Khan;23/04/1960;1;Northern Ireland;4;280.0;10;13/08/1998;CAF3116
GS101134;Ms Abuvaverage;02/08/1973;1;North East;2;1120.0;10;27/08/1998;CAF3111
GS101135;Mr Ian Bru;16/10/1972;0;North East;3;655.0;10;11/07/1998;CAF3112
GS101136;Ms Spud;03/06/1957;1;North East;3;1400.0;7;26/08/1998;CAF3119
GS101137;Mr G. Boycott;17/06/1950;0;North East;3;500.0;10;02/09/1998;CAF3113
GS101138;Mr S. Pudd;17/01/1943;0;South West;2;980.0;7;04/07/1998;CAF3108
GS101139;Mandy Stevens;24/11/1966;0;South West;2;239.0;14;22/07/1998;CAF3116
GS101140;Russel Sprout;04/10/1975;0;South West;5;3250.0;21;20/09/1998;CAF3114
GS101141;Mr Ian Bru;16/05/1959;1;South West;8;3450.0;7;29/09/1998;CAF3117
GS101142;Richard Accountant;28/04/1937;0;South West;4;1630.0;10;07/08/1998;CAF3115
GS101143;Ms M. Highhorse;21/02/1951;1;London & South East;4;3330.0;21;13/07/1998;CAF3116
GS101144;Vince Pie;19/05/1954;0;North West;6;3470.0;7;04/09/1998;CAF3118
GS101145;Kathy Beale;10/09/1963;1;North West;4;1640.0;14;15/07/1998;CAF3113
GS101146;Darren Sloth;25/06/1944;1;North West;2;1720.0;14;20/08/1998;CAF3112
GS101147;Angus Miser;09/06/1975;0;North West;8;5398.0;14;02/08/1998;CAF3118
GS101148;Mrs O. Bagg;20/05/1957;0;North West;5;320.0;7;26/07/1998;CAF3112
GS101149;Joan Ranger;24/04/1977;0;Scotland;2;1510.0;21;29/09/1998;CAF3112
GS101150;Robert Jones;12/01/1944;1;Scotland;5;1000.0;10;22/08/1998;CAF3112
